model,scale,probe,task,metric,value,auc_undefined,kind,source
ESM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,MAP,0.2212,,retrieval,suite
ISM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,R@1,0.43,,retrieval,suite
ISM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,R@10,0.6592,,retrieval,suite
ISM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,R@30,0.7371,,retrieval,suite
ISM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,MAP,0.2733,,retrieval,suite
"HMMER (phmmer, filters off)",n/a,n/a,SCOPe-40 Structural Retrieval,R@1,0.7525,,retrieval,hmmer_maxsens.json
"HMMER (phmmer, filters off)",n/a,n/a,SCOPe-40 Structural Retrieval,R@10,0.8978,,retrieval,hmmer_maxsens.json
"HMMER (phmmer, filters off)",n/a,n/a,SCOPe-40 Structural Retrieval,R@30,0.9232,,retrieval,hmmer_maxsens.json
"HMMER (phmmer, filters off)",n/a,n/a,SCOPe-40 Structural Retrieval,MAP,0.6067,,retrieval,hmmer_maxsens.json
MMseqs2 (-s 7.5),n/a,n/a,SCOPe-40 Structural Retrieval,R@1,0.6556,,retrieval,scope40_bootstrap_ci_150m.json
MMseqs2 (-s 7.5),n/a,n/a,SCOPe-40 Structural Retrieval,R@10,0.7401,,retrieval,scope40_bootstrap_ci_150m.json
MMseqs2 (-s 7.5),n/a,n/a,SCOPe-40 Structural Retrieval,R@30,0.7566,,retrieval,scope40_bootstrap_ci_150m.json
MMseqs2 (-s 7.5),n/a,n/a,SCOPe-40 Structural Retrieval,MAP,0.4098,,retrieval,scope40_bootstrap_ci_150m.json
