arm,level,max_identity_below,n_eligible_queries,R@1,R@1_ci95,R@10,R@10_ci95,MAP,MAP_ci95
protsent_late@1250,family,1.01,1693,0.7147,"[0.6929, 0.7360]",0.9362,"[0.9244, 0.9474]",0.6782,"[0.6629, 0.6933]"
protsent_late@1500,family,0.4,164,0.6585,"[0.5854, 0.7317]",0.9146,"[0.8659, 0.9573]",0.6526,"[0.6009, 0.7026]"
protsent_late@1500,family,0.5,287,0.662,"[0.6063, 0.7143]",0.9303,"[0.8990, 0.9582]",0.662,"[0.6241, 0.6993]"
protsent_late@1500,family,0.7,479,0.6868,"[0.6430, 0.7286]",0.929,"[0.9061, 0.9520]",0.6684,"[0.6391, 0.6978]"
protsent_late@1500,family,1.01,1693,0.7147,"[0.6929, 0.7366]",0.9362,"[0.9244, 0.9474]",0.6794,"[0.6642, 0.6946]"
protsent_late@1750,family,0.4,164,0.6707,"[0.5976, 0.7439]",0.9146,"[0.8659, 0.9573]",0.6588,"[0.6068, 0.7088]"
protsent_late@1750,family,0.5,287,0.669,"[0.6132, 0.7213]",0.9303,"[0.8990, 0.9582]",0.666,"[0.6280, 0.7032]"
protsent_late@1750,family,0.7,479,0.6889,"[0.6472, 0.7307]",0.9269,"[0.9019, 0.9499]",0.6704,"[0.6412, 0.6997]"
protsent_late@1750,family,1.01,1693,0.7171,"[0.6952, 0.7389]",0.9356,"[0.9238, 0.9468]",0.6804,"[0.6652, 0.6956]"
protsent_late@2000,family,0.4,164,0.6646,"[0.5915, 0.7378]",0.9146,"[0.8659, 0.9573]",0.6554,"[0.6036, 0.7054]"
protsent_late@2000,family,0.5,287,0.6655,"[0.6098, 0.7178]",0.9303,"[0.8990, 0.9582]",0.6639,"[0.6261, 0.7012]"
protsent_late@2000,family,0.7,479,0.6889,"[0.6472, 0.7307]",0.9269,"[0.9019, 0.9499]",0.6694,"[0.6402, 0.6988]"
protsent_late@2000,family,1.01,1693,0.7188,"[0.6970, 0.7407]",0.9356,"[0.9238, 0.9468]",0.6805,"[0.6652, 0.6956]"
protsent_late@250,family,0.4,164,0.628,"[0.5549, 0.7012]",0.8841,"[0.8354, 0.9329]",0.6307,"[0.5788, 0.6826]"
protsent_late@250,family,0.5,287,0.6341,"[0.5784, 0.6899]",0.9024,"[0.8676, 0.9338]",0.6428,"[0.6035, 0.6806]"
protsent_late@250,family,0.7,479,0.6681,"[0.6263, 0.7098]",0.9081,"[0.8810, 0.9332]",0.651,"[0.6214, 0.6805]"
