MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.535473201205457,0.5690983235160851,0.7227004984141369,0.7439963751699139,0.6980445097817152,0.74187832250443,0.9421145894861194,0.9698759598346132,family,esm2_late@1750,1693,2207,11.06,maxsim
0.5752687910448946,0.8640688717716357,0.9211599456275487,0.9370185772541912,0.6000086114537251,0.9012287334593573,0.9607750472589792,0.9773156899810964,fold,esm2_late@2000,2116,2207,11.07,maxsim
0.6136724634093476,0.8196647032170367,0.8781150883552333,0.8935206162211147,0.6704827360120941,0.8955445544554456,0.9594059405940594,0.9762376237623762,superfamily,esm2_late@2000,2020,2207,11.07,maxsim
0.5354584938916926,0.5690983235160851,0.7227004984141369,0.7439963751699139,0.6980253372823185,0.74187832250443,0.9421145894861194,0.9698759598346132,family,esm2_late@2000,1693,2207,11.07,maxsim
0.497451024318363,0.8382419574082465,0.911191662890802,0.9297689170820118,0.5188442394473664,0.8742911153119093,0.9503780718336484,0.9697542533081286,fold,protsent_late@0,2116,2207,12.62,maxsim
0.5542726254532938,0.7766198459447213,0.8676937018577254,0.8871771635704576,0.6055840021660492,0.8485148514851485,0.948019801980198,0.9693069306930693,superfamily,protsent_late@0,2020,2207,12.62,maxsim
0.4936910355971464,0.5337562301767105,0.7000453103760761,0.7367467149977345,0.6435771503620212,0.6958062610750148,0.9125812167749557,0.9604252805670408,family,protsent_late@0,1693,2207,12.62,maxsim
0.5113805440542543,0.8418667874943362,0.9125509741730856,0.9342999546896239,0.533372807527287,0.8780718336483931,0.9517958412098299,0.9744801512287334,fold,protsent_late@250,2116,2207,11.07,maxsim
0.5607602046544409,0.7811508835523335,0.8663343905754418,0.8871771635704576,0.6126721641942333,0.8534653465346534,0.9465346534653465,0.9693069306930693,superfamily,protsent_late@250,2020,2207,11.07,maxsim
0.49890955139969045,0.5333031264159492,0.7027639329406434,0.7371998187584957,0.6503800235907363,0.6952155936207915,0.9161252215002953,0.961015948021264,family,protsent_late@250,1693,2207,11.07,maxsim
0.5546042907331715,0.8491164476665156,0.9170820117806978,0.9361123697326688,0.5784554204386151,0.8856332703213611,0.9565217391304348,0.9763705103969754,fold,protsent_late@500,2116,2207,11.06,maxsim
0.5932245965059203,0.7915722700498414,0.8704123244222927,0.8894426823742637,0.6481419230141416,0.8648514851485148,0.950990099009901,0.9717821782178218,superfamily,protsent_late@500,2020,2207,11.06,maxsim
0.5105647684644689,0.543271409152696,0.7086542818305392,0.7358405074762121,0.6655738003550401,0.7082102776137035,0.9238038984051978,0.9592439456585942,family,protsent_late@500,1693,2207,11.06,maxsim
